Nom,address_raw,formatted_address,lat,lng,non_dangereux,dangereux,amiantes
Decheterie de Monistrol sur Loire,Decheterie de Monistrol sur Loire les Cheminches  Monistrol-sur-Loire 43120,"Les Cheminches, 43120 Monistrol-sur-Loire, France",45.2678349,4.1846442,True,True,False
Decheterie de Pierrefort,Decheterie de Pierrefort Rue de Salzet  Pierrefort 15230,"Rue de Salzet, 15230 Pierrefort, France",44.9224128,2.8387099,True,True,False
Decheterie de Pionsat,Decheterie de Pionsat les Fayes  Pionsat 63330,"Les Fayes, 63330 Pionsat, France",46.108807,2.700687,True,True,False
Decheterie de Saint Flour,Decheterie de Saint Flour les Cramades Zi de la Florizane Saint-Flour 15100,"Zone Industrielle la Florizane & Les Cramades, 15100 Saint-Flour, France",45.049331,3.100755,True,True,False
Decheterie de Saint Gervais d'Auvergne,Decheterie de Saint Gervais d'Auvergne Saint-Gervais-D'Auvergne  Saint-Gervais-d'Auvergne 63390,"63390 Saint-Gervais-d'Auvergne, France",46.02952699999999,2.821046,True,True,False
Decheterie de Saugues,Decheterie de Saugues Lieu dit Védrines  Saugues 43170,"Védrines, 43170 Thoras, France",44.8429054,3.5497092,True,True,False
Decheterie de St Pal de Chalencon,Decheterie de St Pal de Chalencon Trespeyres  Saint-Pal-de-Chalencon 43500,"Trespeyres, 43500 Saint-Pal-de-Chalencon, France",45.35115099999999,3.991981,True,True,False
Decheterie de St Paulien,Decheterie de St Paulien Za de Nolhac  Saint-Paulien 43350,"ZA de Nolhac, 43350 Saint-Paulien, France",45.1070082,3.8122148,True,True,False
Decheterie de Thiers,Decheterie de Thiers Matussière  Thiers 63300,"Chem. de Matussière, 63300 Thiers, France",45.8352407,3.5139884,True,True,False
Decheterie de la Chaise-dieu,Decheterie de la Chaise-dieu Route du Stade  La Chaise-Dieu 43160,"Rue du Stade, 43160 La Chaise-Dieu, France",45.3148038,3.6970032,True,True,False
Déchetterie Intercommunale de Boëge,Déchetterie Intercommunale de Boëge 645 Rte de la Crosse Lieu Dit Fellières Boëge 74420,"645 Rte de la Crosse, 74420 Boëge, France",46.1997271,6.3962834,True,True,False
Déchèterie Alba-la-romaine,Déchèterie Alba-la-romaine les Barrières Quartier les Barrières Alba-la-Romaine 07400,"Les Barrières, 07400 Alba-la-Romaine, France",44.5458341,4.591243,True,True,False
Déchèterie Alboussiere,Déchèterie Alboussiere Mini Déchèterie Rd 219 Alboussière 07440,"Unnamed Road, 07440 Alboussière, France",44.9465361,4.7365211,False,False,True
